Strain Combination	Observed Ratio (%)	Simulated Mean (%)	Simulated Std Dev (%)
R_S_9, R_S_10, R_S_11, R_S_12, R_S_13, R_S_15	2.10	0.00	0.00
R_S_9, R_S_10, R_S_11, R_S_12, R_S_14, R_S_15	2.27	0.00	0.00
R_S_9, R_S_10, R_S_11, R_S_13, R_S_14, R_S_15	2.88	0.00	0.00
R_S_9, R_S_10, R_S_12, R_S_13, R_S_14, R_S_15	2.35	0.00	0.00
R_S_9, R_S_11, R_S_12, R_S_13, R_S_14, R_S_15	2.18	0.00	0.00
R_S_10, R_S_11, R_S_12, R_S_13, R_S_14, R_S_15	2.66	0.00	0.00
R_S_8, R_S_9, R_S_10, R_S_11, R_S_12, R_S_13, R_S_14	1.66	0.00	0.00
R_S_8, R_S_9, R_S_10, R_S_11, R_S_12, R_S_13, R_S_15	1.51	0.00	0.00
R_S_8, R_S_9, R_S_10, R_S_11, R_S_12, R_S_14, R_S_15	1.56	0.00	0.00
R_S_8, R_S_9, R_S_10, R_S_11, R_S_13, R_S_14, R_S_15	2.36	0.00	0.00
R_S_8, R_S_9, R_S_10, R_S_12, R_S_13, R_S_14, R_S_15	1.59	0.00	0.00
R_S_8, R_S_9, R_S_11, R_S_12, R_S_13, R_S_14, R_S_15	1.64	0.00	0.00
R_S_8, R_S_10, R_S_11, R_S_12, R_S_13, R_S_14, R_S_15	2.09	0.00	0.00
R_S_9, R_S_10, R_S_11, R_S_12, R_S_13, R_S_14, R_S_15	1.85	0.00	0.00
R_S_8, R_S_9, R_S_10, R_S_11, R_S_12, R_S_13, R_S_14, R_S_15	1.43	0.00	0.00
