Strain Combination	Observed Ratio (%)	Simulated Mean (%)	Simulated Std Dev (%)
R_S_10, R_S_11, R_S_12, R_S_13, R_S_14, R_S_15	2.45	0.00	0.00
R_S_8, R_S_9, R_S_10, R_S_11, R_S_12, R_S_13, R_S_14	1.66	0.00	0.00
R_S_8, R_S_9, R_S_10, R_S_11, R_S_12, R_S_13, R_S_15	1.41	0.00	0.00
R_S_8, R_S_9, R_S_10, R_S_11, R_S_12, R_S_14, R_S_15	1.56	0.00	0.00
R_S_8, R_S_9, R_S_10, R_S_11, R_S_13, R_S_14, R_S_15	2.36	0.00	0.00
R_S_8, R_S_9, R_S_10, R_S_12, R_S_13, R_S_14, R_S_15	1.48	0.00	0.00
R_S_8, R_S_9, R_S_11, R_S_12, R_S_13, R_S_14, R_S_15	1.64	0.00	0.00
R_S_8, R_S_10, R_S_11, R_S_12, R_S_13, R_S_14, R_S_15	1.98	0.00	0.00
R_S_9, R_S_10, R_S_11, R_S_12, R_S_13, R_S_14, R_S_15	1.75	0.00	0.00
R_S_8, R_S_9, R_S_10, R_S_11, R_S_12, R_S_13, R_S_14, R_S_15	1.43	0.00	0.00
