lines	n_lines	observed_count	D_value
Ara+2|Ara+3|Ara-3|Ara-6	4	77	40.184272178128
Ara+2|Ara+3|Ara-4|Ara-5	4	125	60.12266918348119
Ara+2|Ara+3|Ara-4|Ara-6	4	86	55.46830757857447
Ara+2|Ara+3|Ara-5|Ara-6	4	71	38.57596371882087
Ara+2|Ara+4|Ara+5|Ara-1	4	93	44.40812075357512
Ara+2|Ara+4|Ara+5|Ara-2	4	121	48.3649729972028
Ara+2|Ara+4|Ara+5|Ara-3	4	110	50.07705124054413
Ara+2|Ara+4|Ara+5|Ara-4	4	114	59.686975151505344
Ara+2|Ara+4|Ara+5|Ara-5	4	111	56.64401962249157
Ara+2|Ara+4|Ara+5|Ara-6	4	88	54.65384200264407
Ara+2|Ara+4|Ara-1|Ara-2	4	103	40.273793913852224
Ara+2|Ara+4|Ara-1|Ara-3	4	87	38.12253730801503
Ara+2|Ara+4|Ara-1|Ara-4	4	116	64.57520743651712
Ara+2|Ara+4|Ara-1|Ara-5	4	88	44.13508883921607
Ara+2|Ara+4|Ara-1|Ara-6	4	82	53.529398909800335
Ara+2|Ara+4|Ara-2|Ara-3	4	120	43.31953972477407
Ara+2|Ara+4|Ara-2|Ara-4	4	127	62.13834167048522
Ara+2|Ara+4|Ara-2|Ara-5	4	112	49.95678234086106
Ara+2|Ara+4|Ara-2|Ara-6	4	94	53.13771566797989
Ara+2|Ara+4|Ara-3|Ara-4	4	103	55.01751516867592
Ara+2|Ara+4|Ara-3|Ara-5	4	98	45.69975990334533
Ara+2|Ara+4|Ara-3|Ara-6	4	82	50.57847761329166
Ara+2|Ara+4|Ara-4|Ara-5	4	111	65.02879530332163
Ara+2|Ara+4|Ara-4|Ara-6	4	99	78.15992880438834
Ara+2|Ara+4|Ara-5|Ara-6	4	76	49.55993805037892
Ara+2|Ara+5|Ara-1|Ara-2	4	119	42.0601693375811
Ara+2|Ara+5|Ara-1|Ara-3	4	104	40.84228302037007
Ara+2|Ara+5|Ara-1|Ara-4	4	120	58.55076656699775
Ara+2|Ara+5|Ara-1|Ara-5	4	119	50.85626992201075
Ara+2|Ara+5|Ara-1|Ara-6	4	80	43.31921569730432
Ara+2|Ara+5|Ara-2|Ara-3	4	136	45.545040008383246
Ara+2|Ara+5|Ara-2|Ara-4	4	134	55.0491942172151
Ara+2|Ara+5|Ara-2|Ara-5	4	135	47.82624124693953
Ara+2|Ara+5|Ara-2|Ara-6	4	89	42.688518455838285
Ara+2|Ara+5|Ara-3|Ara-4	4	108	47.27366224621997
Ara+2|Ara+5|Ara-3|Ara-5	4	122	50.06102570591572
Ara+2|Ara+5|Ara-3|Ara-6	4	82	43.6838896183848
Ara+2|Ara+5|Ara-4|Ara-5	4	121	57.90301656814202
Ara+2|Ara+5|Ara-4|Ara-6	4	86	53.717053089666855
Ara+2|Ara+5|Ara-5|Ara-6	4	83	49.6983185619651
Ara+2|Ara-1|Ara-2|Ara-3	4	122	39.77377164392898
Ara+2|Ara-1|Ara-2|Ara-4	4	150	64.40124342311722
Ara+2|Ara-1|Ara-2|Ara-5	4	126	45.97857635054225
Ara+2|Ara-1|Ara-2|Ara-6	4	96	47.67184896024529
Ara+2|Ara-1|Ara-3|Ara-4	4	112	50.49964375710303
Ara+2|Ara-1|Ara-3|Ara-5	4	100	42.38216707909324
Ara+2|Ara-1|Ara-3|Ara-6	4	87	46.08824144701247
Ara+2|Ara-1|Ara-4|Ara-5	4	127	64.52097998089292
Ara+2|Ara-1|Ara-4|Ara-6	4	101	69.05048448818695
Ara+2|Ara-1|Ara-5|Ara-6	4	72	41.74713092879959
Ara+2|Ara-2|Ara-3|Ara-4	4	133	52.20456973256117
Ara+2|Ara-2|Ara-3|Ara-5	4	116	38.13079890462726
Ara+2|Ara-2|Ara-3|Ara-6	4	93	43.76349081360383
Ara+2|Ara-2|Ara-4|Ara-5	4	140	60.855443512518754
Ara+2|Ara-2|Ara-4|Ara-6	4	105	61.04392706501299
Ara+2|Ara-2|Ara-5|Ara-6	4	87	42.8176875544488
Ara+2|Ara-3|Ara-4|Ara-5	4	95	46.91255857476961
Ara+2|Ara-3|Ara-4|Ara-6	4	90	55.979569137085775
Ara+2|Ara-3|Ara-5|Ara-6	4	76	42.0934848739839
