Strain Combination	Observed Ratio (%)	Simulated Mean (%)	Simulated Std Dev (%)
ALE1 at 42C, ALE3 at 42C, ALE4 at 42C, ALE8 at 42C	19.50	0.20	0.20
ALE1 at 42C, ALE3 at 42C, ALE4 at 42C, ALE9 at 42C	25.31	0.16	0.19
ALE1 at 42C, ALE3 at 42C, ALE4 at 42C, ALE10 at 42C	24.15	0.21	0.20
ALE1 at 42C, ALE3 at 42C, ALE5 at 42C, ALE6 at 42C	17.76	0.21	0.20
ALE1 at 42C, ALE3 at 42C, ALE5 at 42C, ALE7 at 42C	22.62	0.20	0.18
ALE1 at 42C, ALE3 at 42C, ALE5 at 42C, ALE8 at 42C	19.20	0.15	0.18
ALE1 at 42C, ALE3 at 42C, ALE5 at 42C, ALE9 at 42C	27.97	0.14	0.18
ALE1 at 42C, ALE3 at 42C, ALE5 at 42C, ALE10 at 42C	24.62	0.17	0.19
ALE1 at 42C, ALE3 at 42C, ALE6 at 42C, ALE7 at 42C	17.22	0.40	0.24
ALE1 at 42C, ALE3 at 42C, ALE6 at 42C, ALE8 at 42C	17.22	0.29	0.22
ALE1 at 42C, ALE3 at 42C, ALE6 at 42C, ALE9 at 42C	18.64	0.24	0.21
ALE1 at 42C, ALE3 at 42C, ALE6 at 42C, ALE10 at 42C	18.03	0.29	0.23
ALE1 at 42C, ALE3 at 42C, ALE7 at 42C, ALE8 at 42C	17.27	0.27	0.21
ALE1 at 42C, ALE3 at 42C, ALE7 at 42C, ALE9 at 42C	23.02	0.23	0.21
ALE1 at 42C, ALE3 at 42C, ALE7 at 42C, ALE10 at 42C	21.30	0.31	0.22
ALE1 at 42C, ALE3 at 42C, ALE8 at 42C, ALE9 at 42C	19.75	0.16	0.18
ALE1 at 42C, ALE3 at 42C, ALE8 at 42C, ALE10 at 42C	19.37	0.22	0.21
ALE1 at 42C, ALE3 at 42C, ALE9 at 42C, ALE10 at 42C	24.81	0.19	0.20
ALE1 at 42C, ALE4 at 42C, ALE5 at 42C, ALE6 at 42C	17.43	0.27	0.22
ALE1 at 42C, ALE4 at 42C, ALE5 at 42C, ALE7 at 42C	22.37	0.28	0.22
ALE1 at 42C, ALE4 at 42C, ALE5 at 42C, ALE8 at 42C	20.14	0.20	0.21
