Strain Combination	Observed Ratio (%)	Simulated Mean (%)	Simulated Std Dev (%)
ALE2 at 42C,ALE4 at 42C,ALE5 at 42C,ALE7 at 42C	0.79	0.00	0.02
ALE2 at 42C,ALE4 at 42C,ALE5 at 42C,ALE8 at 42C	1.40	0.00	0.03
ALE2 at 42C,ALE4 at 42C,ALE5 at 42C,ALE9 at 42C	2.00	0.00	0.02
ALE2 at 42C,ALE4 at 42C,ALE5 at 42C,ALE10 at 42C	2.06	0.00	0.02
ALE2 at 42C,ALE4 at 42C,ALE6 at 42C,ALE7 at 42C	0.33	0.00	0.02
ALE2 at 42C,ALE4 at 42C,ALE6 at 42C,ALE8 at 42C	0.94	0.00	0.03
ALE2 at 42C,ALE4 at 42C,ALE6 at 42C,ALE9 at 42C	1.58	0.00	0.03
ALE2 at 42C,ALE4 at 42C,ALE6 at 42C,ALE10 at 42C	1.11	0.00	0.03
ALE2 at 42C,ALE4 at 42C,ALE7 at 42C,ALE8 at 42C	0.37	0.00	0.02
ALE2 at 42C,ALE4 at 42C,ALE7 at 42C,ALE9 at 42C	0.58	0.00	0.02
ALE2 at 42C,ALE4 at 42C,ALE7 at 42C,ALE10 at 42C	1.27	0.00	0.02
ALE2 at 42C,ALE4 at 42C,ALE8 at 42C,ALE9 at 42C	0.68	0.00	0.02
ALE2 at 42C,ALE4 at 42C,ALE8 at 42C,ALE10 at 42C	1.26	0.00	0.02
ALE2 at 42C,ALE4 at 42C,ALE9 at 42C,ALE10 at 42C	1.11	0.00	0.02
ALE2 at 42C,ALE5 at 42C,ALE6 at 42C,ALE7 at 42C	0.17	0.00	0.02
ALE2 at 42C,ALE5 at 42C,ALE6 at 42C,ALE8 at 42C	1.20	0.00	0.02
ALE2 at 42C,ALE5 at 42C,ALE6 at 42C,ALE9 at 42C	1.69	0.00	0.03
ALE2 at 42C,ALE5 at 42C,ALE6 at 42C,ALE10 at 42C	0.79	0.00	0.02
ALE2 at 42C,ALE5 at 42C,ALE7 at 42C,ALE8 at 42C	0.59	0.00	0.02
ALE2 at 42C,ALE5 at 42C,ALE7 at 42C,ALE9 at 42C	1.04	0.00	0.03
ALE2 at 42C,ALE5 at 42C,ALE7 at 42C,ALE10 at 42C	0.58	0.00	0.02
ALE2 at 42C,ALE5 at 42C,ALE8 at 42C,ALE9 at 42C	1.72	0.00	0.02
ALE2 at 42C,ALE5 at 42C,ALE8 at 42C,ALE10 at 42C	1.13	0.00	0.03
ALE2 at 42C,ALE5 at 42C,ALE9 at 42C,ALE10 at 42C	0.97	0.00	0.02
ALE2 at 42C,ALE6 at 42C,ALE7 at 42C,ALE8 at 42C	0.00	0.00	0.03
ALE2 at 42C,ALE6 at 42C,ALE7 at 42C,ALE9 at 42C	0.34	0.00	0.02
ALE2 at 42C,ALE6 at 42C,ALE7 at 42C,ALE10 at 42C	0.32	0.00	0.03
ALE2 at 42C,ALE6 at 42C,ALE8 at 42C,ALE9 at 42C	1.37	0.01	0.03
ALE2 at 42C,ALE6 at 42C,ALE8 at 42C,ALE10 at 42C	1.10	0.00	0.03
ALE2 at 42C,ALE6 at 42C,ALE9 at 42C,ALE10 at 42C	1.15	0.00	0.03
ALE2 at 42C,ALE7 at 42C,ALE8 at 42C,ALE9 at 42C	0.00	0.00	0.03
ALE2 at 42C,ALE7 at 42C,ALE8 at 42C,ALE10 at 42C	0.18	0.00	0.02
ALE2 at 42C,ALE7 at 42C,ALE9 at 42C,ALE10 at 42C	0.57	0.00	0.02
ALE2 at 42C,ALE8 at 42C,ALE9 at 42C,ALE10 at 42C	0.88	0.00	0.02
