Strain Combination	Observed Ratio (%)	Simulated Mean (%)	Simulated Std Dev (%)	D Value
KCl-KCl-2,Lac-Lac-4	0.0	0.2	1.1	-0.18
KCl-KCl-2,Lac-Lac-5	0.0	0.3	1.0	-0.28
KCl-KCl-3,Lac-Lac-1	0.0	0.1	0.8	-0.14
KCl-KCl-3,Lac-Lac-2	0.0	0.2	1.0	-0.18
KCl-KCl-3,Lac-Lac-3	5.0	0.2	0.9	5.17
KCl-KCl-3,Lac-Lac-4	0.0	0.2	1.0	-0.19
KCl-KCl-3,Lac-Lac-5	7.0	0.3	1.0	6.98
KCl-KCl-4,Lac-Lac-1	6.5	0.2	1.0	6.24
KCl-KCl-4,Lac-Lac-2	0.0	0.1	0.9	-0.14
KCl-KCl-4,Lac-Lac-3	5.4	0.2	1.1	4.90
KCl-KCl-4,Lac-Lac-4	0.0	0.2	1.1	-0.20
KCl-KCl-4,Lac-Lac-5	3.7	0.3	1.1	3.20
KCl-KCl-5,Lac-Lac-1	0.0	0.1	1.0	-0.12
KCl-KCl-5,Lac-Lac-2	0.0	0.1	1.1	-0.14
KCl-KCl-5,Lac-Lac-3	6.7	0.1	0.9	7.39
KCl-KCl-5,Lac-Lac-4	0.0	0.2	1.1	-0.15
KCl-KCl-5,Lac-Lac-5	0.0	0.3	1.0	-0.25
KCl-KCl-1,Mal-Mal-1	0.0	0.2	0.7	-0.29
KCl-KCl-1,Mal-Mal-2	0.0	0.1	0.5	-0.19
KCl-KCl-1,Mal-Mal-3	2.4	0.3	0.8	2.60
KCl-KCl-1,Mal-Mal-4	0.0	0.1	0.6	-0.19
KCl-KCl-1,Mal-Mal-5	0.0	0.2	0.7	-0.24
KCl-KCl-2,Mal-Mal-1	0.0	0.1	1.0	-0.13
KCl-KCl-2,Mal-Mal-2	0.0	0.1	1.0	-0.11
KCl-KCl-2,Mal-Mal-3	5.4	0.2	1.1	4.61
KCl-KCl-2,Mal-Mal-4	0.0	0.1	1.1	-0.13
KCl-KCl-2,Mal-Mal-5	0.0	0.1	0.9	-0.13
KCl-KCl-3,Mal-Mal-1	0.0	0.1	0.8	-0.13
KCl-KCl-3,Mal-Mal-2	0.0	0.0	0.6	-0.08
KCl-KCl-3,Mal-Mal-3	0.0	0.3	1.1	-0.23
KCl-KCl-3,Mal-Mal-4	0.0	0.1	0.6	-0.08
KCl-KCl-3,Mal-Mal-5	0.0	0.1	0.9	-0.14
KCl-KCl-4,Mal-Mal-1	6.7	0.1	0.9	7.00
KCl-KCl-4,Mal-Mal-2	0.0	0.1	0.8	-0.11
KCl-KCl-4,Mal-Mal-3	5.0	0.2	1.1	4.56
KCl-KCl-4,Mal-Mal-4	0.0	0.1	0.7	-0.09
KCl-KCl-4,Mal-Mal-5	0.0	0.1	1.0	-0.15
KCl-KCl-5,Mal-Mal-1	0.0	0.1	0.9	-0.10
KCl-KCl-5,Mal-Mal-2	0.0	0.1	1.2	-0.11
KCl-KCl-5,Mal-Mal-3	6.1	0.1	0.8	7.00
KCl-KCl-5,Mal-Mal-4	0.0	0.0	0.7	-0.06
