Strain Combination	Observed Ratio (%)	Simulated Mean (%)	Simulated Std Dev (%)	D Value
NaCl-NaCl-5,CPC-CPC-1	0.0	0.3	1.5	-0.18
NaCl-NaCl-5,CPC-CPC-2	0.0	0.4	1.3	-0.31
NaCl-NaCl-5,CPC-CPC-3	0.0	0.5	1.5	-0.32
NaCl-NaCl-5,CPC-CPC-4	0.0	0.5	1.5	-0.33
NaCl-NaCl-5,CPC-CPC-5	0.0	0.5	1.5	-0.31
KCl-KCl-1,CoCl2-CoCl2-1	31.4	1.1	1.5	20.85
KCl-KCl-1,CoCl2-CoCl2-2	2.6	0.5	1.1	1.89
KCl-KCl-1,CoCl2-CoCl2-3	31.6	1.0	1.5	21.09
KCl-KCl-1,CoCl2-CoCl2-4	31.2	0.9	1.4	21.37
KCl-KCl-1,CoCl2-CoCl2-5	29.5	1.0	1.4	20.78
KCl-KCl-2,CoCl2-CoCl2-1	3.5	0.6	1.5	1.92
KCl-KCl-2,CoCl2-CoCl2-2	0.0	0.3	1.3	-0.23
KCl-KCl-2,CoCl2-CoCl2-3	0.0	0.5	1.4	-0.36
KCl-KCl-2,CoCl2-CoCl2-4	0.0	0.5	1.4	-0.37
KCl-KCl-2,CoCl2-CoCl2-5	0.0	0.5	1.4	-0.34
KCl-KCl-3,CoCl2-CoCl2-1	3.2	0.6	1.5	1.76
KCl-KCl-3,CoCl2-CoCl2-2	0.0	0.4	1.4	-0.27
KCl-KCl-3,CoCl2-CoCl2-3	0.0	0.6	1.5	-0.43
KCl-KCl-3,CoCl2-CoCl2-4	3.5	0.8	1.6	1.73
KCl-KCl-3,CoCl2-CoCl2-5	0.0	0.6	1.4	-0.39
KCl-KCl-4,CoCl2-CoCl2-1	0.0	0.6	1.5	-0.44
KCl-KCl-4,CoCl2-CoCl2-2	0.0	0.4	1.5	-0.28
KCl-KCl-4,CoCl2-CoCl2-3	3.8	0.5	1.4	2.26
KCl-KCl-4,CoCl2-CoCl2-4	0.0	0.6	1.4	-0.39
KCl-KCl-4,CoCl2-CoCl2-5	15.1	0.7	1.5	9.47
KCl-KCl-5,CoCl2-CoCl2-1	3.8	0.5	1.3	2.45
KCl-KCl-5,CoCl2-CoCl2-2	0.0	0.3	1.6	-0.22
KCl-KCl-5,CoCl2-CoCl2-3	4.3	0.4	1.3	2.95
KCl-KCl-5,CoCl2-CoCl2-4	4.3	0.5	1.5	2.60
KCl-KCl-5,CoCl2-CoCl2-5	0.0	0.5	1.4	-0.33
KCl-KCl-1,Na2CO3-Na2CO3-1	22.0	1.4	1.5	13.87
KCl-KCl-1,Na2CO3-Na2CO3-2	14.8	1.1	1.4	9.58
KCl-KCl-1,Na2CO3-Na2CO3-3	32.8	1.4	1.5	21.06
KCl-KCl-1,Na2CO3-Na2CO3-4	12.7	1.1	1.5	8.00
KCl-KCl-1,Na2CO3-Na2CO3-5	10.6	1.1	1.4	6.90
KCl-KCl-2,Na2CO3-Na2CO3-1	7.3	0.6	1.1	5.90
KCl-KCl-2,Na2CO3-Na2CO3-2	9.5	0.6	1.4	6.40
KCl-KCl-2,Na2CO3-Na2CO3-3	7.8	0.7	1.3	5.35
KCl-KCl-2,Na2CO3-Na2CO3-4	12.3	0.6	1.3	9.00
KCl-KCl-2,Na2CO3-Na2CO3-5	11.8	0.6	1.4	7.84
KCl-KCl-3,Na2CO3-Na2CO3-1	20.5	0.9	1.4	14.06
KCl-KCl-3,Na2CO3-Na2CO3-2	26.1	0.7	1.4	18.37
KCl-KCl-3,Na2CO3-Na2CO3-3	41.0	0.8	1.4	29.40
KCl-KCl-3,Na2CO3-Na2CO3-4	19.7	0.7	1.4	13.61
KCl-KCl-3,Na2CO3-Na2CO3-5	16.2	0.7	1.4	11.46
KCl-KCl-4,Na2CO3-Na2CO3-1	11.8	0.8	1.3	8.53
KCl-KCl-4,Na2CO3-Na2CO3-2	15.2	0.7	1.4	10.16
KCl-KCl-4,Na2CO3-Na2CO3-3	15.0	0.8	1.3	10.56
KCl-KCl-4,Na2CO3-Na2CO3-4	17.6	0.7	1.4	12.10
KCl-KCl-4,Na2CO3-Na2CO3-5	16.9	0.7	1.4	11.59
KCl-KCl-5,Na2CO3-Na2CO3-1	2.6	0.6	1.2	1.70
KCl-KCl-5,Na2CO3-Na2CO3-2	6.8	0.5	1.2	5.26
KCl-KCl-5,Na2CO3-Na2CO3-3	2.7	0.5	1.2	1.88
KCl-KCl-5,Na2CO3-Na2CO3-4	3.3	0.5	1.2	2.27
