Strain Combination	Observed Ratio (%)	Simulated Mean (%)	Simulated Std Dev (%)
Ara+2, Ara+5, Ara-1, Ara-5	52.06	21.16	0.69
Ara+2, Ara+5, Ara-1, Ara-6	52.07	21.53	0.64
Ara+2, Ara+5, Ara-2, Ara-3	53.54	22.36	0.66
Ara+2, Ara+5, Ara-2, Ara-4	52.47	21.22	0.66
Ara+2, Ara+5, Ara-2, Ara-5	52.13	21.33	0.66
Ara+2, Ara+5, Ara-2, Ara-6	53.54	21.71	0.68
Ara+2, Ara+5, Ara-3, Ara-4	53.31	21.39	0.66
Ara+2, Ara+5, Ara-3, Ara-5	52.67	21.50	0.66
Ara+2, Ara+5, Ara-3, Ara-6	53.99	21.90	0.63
Ara+2, Ara+5, Ara-4, Ara-5	52.26	20.45	0.66
Ara+2, Ara+5, Ara-4, Ara-6	53.15	20.79	0.67
Ara+2, Ara+5, Ara-5, Ara-6	54.07	20.94	0.67
Ara+2, Ara-1, Ara-2, Ara-3	52.91	22.56	0.65
Ara+2, Ara-1, Ara-2, Ara-4	53.85	21.42	0.64
Ara+2, Ara-1, Ara-2, Ara-5	54.00	21.57	0.63
Ara+2, Ara-1, Ara-2, Ara-6	53.62	21.97	0.65
Ara+2, Ara-1, Ara-3, Ara-4	53.58	21.62	0.67
Ara+2, Ara-1, Ara-3, Ara-5	53.51	21.78	0.67
Ara+2, Ara-1, Ara-3, Ara-6	52.79	22.16	0.63
Ara+2, Ara-1, Ara-4, Ara-5	55.00	20.62	0.69
Ara+2, Ara-1, Ara-4, Ara-6	54.54	21.06	0.66
Ara+2, Ara-1, Ara-5, Ara-6	55.41	21.16	0.65
Ara+2, Ara-2, Ara-3, Ara-4	55.31	21.80	0.64
Ara+2, Ara-2, Ara-3, Ara-5	54.36	21.96	0.65
Ara+2, Ara-2, Ara-3, Ara-6	55.29	22.34	0.67
Ara+2, Ara-2, Ara-4, Ara-5	53.91	20.81	0.65
Ara+2, Ara-2, Ara-4, Ara-6	54.94	21.21	0.66
Ara+2, Ara-2, Ara-5, Ara-6	55.09	21.37	0.65
Ara+2, Ara-3, Ara-4, Ara-5	54.68	21.04	0.68
Ara+2, Ara-3, Ara-4, Ara-6	55.32	21.39	0.64
Ara+2, Ara-3, Ara-5, Ara-6	54.75	21.56	0.67
Ara+2, Ara-4, Ara-5, Ara-6	55.34	20.49	0.65
Ara+3, Ara+4, Ara+5, Ara-1	52.51	21.33	0.65
Ara+3, Ara+4, Ara+5, Ara-2	55.65	21.55	0.66
Ara+3, Ara+4, Ara+5, Ara-3	56.02	21.73	0.63
Ara+3, Ara+4, Ara+5, Ara-4	54.63	20.58	0.64
