Strain Combination	Observed Ratio (%)	Simulated Mean (%)	Simulated Std Dev (%)
Ara+1, Ara+4, Ara-1, Ara-5	11.49	0.06	0.09
Ara+1, Ara+4, Ara-1, Ara-6	10.59	0.04	0.08
Ara+1, Ara+4, Ara-2, Ara-3	8.05	0.09	0.11
Ara+1, Ara+4, Ara-2, Ara-4	11.85	0.07	0.10
Ara+1, Ara+4, Ara-2, Ara-5	9.32	0.08	0.10
Ara+1, Ara+4, Ara-2, Ara-6	8.71	0.05	0.08
Ara+1, Ara+4, Ara-3, Ara-4	9.84	0.06	0.09
Ara+1, Ara+4, Ara-3, Ara-5	8.59	0.07	0.09
Ara+1, Ara+4, Ara-3, Ara-6	7.40	0.04	0.08
Ara+1, Ara+4, Ara-4, Ara-5	12.50	0.05	0.08
Ara+1, Ara+4, Ara-4, Ara-6	11.30	0.03	0.07
Ara+1, Ara+4, Ara-5, Ara-6	8.96	0.04	0.08
Ara+1, Ara+5, Ara-1, Ara-2	11.26	0.10	0.11
Ara+1, Ara+5, Ara-1, Ara-3	9.71	0.09	0.10
Ara+1, Ara+5, Ara-1, Ara-4	12.94	0.06	0.09
Ara+1, Ara+5, Ara-1, Ara-5	13.70	0.08	0.10
Ara+1, Ara+5, Ara-1, Ara-6	8.20	0.05	0.09
Ara+1, Ara+5, Ara-2, Ara-3	8.93	0.11	0.11
Ara+1, Ara+5, Ara-2, Ara-4	12.07	0.08	0.11
Ara+1, Ara+5, Ara-2, Ara-5	11.73	0.10	0.11
Ara+1, Ara+5, Ara-2, Ara-6	7.72	0.06	0.09
Ara+1, Ara+5, Ara-3, Ara-4	10.21	0.07	0.10
Ara+1, Ara+5, Ara-3, Ara-5	11.57	0.07	0.10
Ara+1, Ara+5, Ara-3, Ara-6	7.13	0.05	0.09
Ara+1, Ara+5, Ara-4, Ara-5	14.23	0.05	0.09
Ara+1, Ara+5, Ara-4, Ara-6	8.37	0.04	0.08
Ara+1, Ara+5, Ara-5, Ara-6	8.71	0.05	0.09
Ara+1, Ara-1, Ara-2, Ara-3	10.72	0.11	0.11
Ara+1, Ara-1, Ara-2, Ara-4	16.17	0.08	0.10
Ara+1, Ara-1, Ara-2, Ara-5	14.22	0.09	0.11
Ara+1, Ara-1, Ara-2, Ara-6	10.55	0.06	0.09
Ara+1, Ara-1, Ara-3, Ara-4	10.96	0.07	0.10
Ara+1, Ara-1, Ara-3, Ara-5	11.02	0.08	0.10
Ara+1, Ara-1, Ara-3, Ara-6	8.46	0.05	0.09
Ara+1, Ara-1, Ara-4, Ara-5	16.59	0.06	0.09
Ara+1, Ara-1, Ara-4, Ara-6	11.57	0.04	0.08
Ara+1, Ara-1, Ara-5, Ara-6	8.93	0.05	0.09
Ara+1, Ara-2, Ara-3, Ara-4	10.88	0.09	0.10
Ara+1, Ara-2, Ara-3, Ara-5	9.88	0.11	0.11
Ara+1, Ara-2, Ara-3, Ara-6	8.48	0.07	0.09
Ara+1, Ara-2, Ara-4, Ara-5	14.73	0.08	0.10
Ara+1, Ara-2, Ara-4, Ara-6	10.57	0.05	0.08
Ara+1, Ara-2, Ara-5, Ara-6	9.31	0.06	0.09
Ara+1, Ara-3, Ara-4, Ara-5	10.53	0.07	0.10
Ara+1, Ara-3, Ara-4, Ara-6	8.33	0.04	0.08
Ara+1, Ara-3, Ara-5, Ara-6	8.09	0.05	0.09
Ara+1, Ara-4, Ara-5, Ara-6	9.47	0.04	0.07
Ara+2, Ara+3, Ara+4, Ara+5	11.95	0.08	0.10
Ara+2, Ara+3, Ara+4, Ara-1	13.76	0.07	0.10
Ara+2, Ara+3, Ara+4, Ara-2	11.03	0.09	0.10
Ara+2, Ara+3, Ara+4, Ara-3	10.70	0.08	0.10
Ara+2, Ara+3, Ara+4, Ara-4	15.43	0.06	0.09
Ara+2, Ara+3, Ara+4, Ara-5	12.72	0.06	0.09
Ara+2, Ara+3, Ara+4, Ara-6	11.24	0.04	0.08
Ara+2, Ara+3, Ara+5, Ara-1	12.00	0.10	0.11
Ara+2, Ara+3, Ara+5, Ara-2	9.23	0.11	0.11
Ara+2, Ara+3, Ara+5, Ara-3	10.74	0.10	0.11
Ara+2, Ara+3, Ara+5, Ara-4	11.72	0.07	0.10
Ara+2, Ara+3, Ara+5, Ara-5	13.27	0.09	0.11
Ara+2, Ara+3, Ara+5, Ara-6	8.89	0.06	0.09
Ara+2, Ara+3, Ara-1, Ara-2	14.33	0.11	0.11
Ara+2, Ara+3, Ara-1, Ara-3	11.18	0.09	0.11
Ara+2, Ara+3, Ara-1, Ara-4	18.05	0.07	0.10
Ara+2, Ara+3, Ara-1, Ara-5	14.38	0.09	0.10
Ara+2, Ara+3, Ara-1, Ara-6	11.34	0.05	0.09
Ara+2, Ara+3, Ara-2, Ara-3	10.42	0.13	0.12
Ara+2, Ara+3, Ara-2, Ara-4	17.01	0.09	0.11
Ara+2, Ara+3, Ara-2, Ara-5	11.93	0.11	0.11
Ara+2, Ara+3, Ara-2, Ara-6	9.57	0.07	0.09
Ara+2, Ara+3, Ara-3, Ara-4	11.50	0.08	0.11
Ara+2, Ara+3, Ara-3, Ara-5	10.67	0.10	0.11
Ara+2, Ara+3, Ara-3, Ara-6	8.44	0.06	0.09
Ara+2, Ara+3, Ara-4, Ara-5	15.48	0.06	0.09
Ara+2, Ara+3, Ara-4, Ara-6	12.18	0.04	0.08
Ara+2, Ara+3, Ara-5, Ara-6	9.18	0.05	0.09
Ara+2, Ara+4, Ara+5, Ara-1	10.85	0.07	0.09
Ara+2, Ara+4, Ara+5, Ara-2	10.54	0.10	0.11
Ara+2, Ara+4, Ara+5, Ara-3	10.17	0.08	0.10
Ara+2, Ara+4, Ara+5, Ara-4	13.91	0.06	0.09
Ara+2, Ara+4, Ara+5, Ara-5	13.02	0.07	0.10
Ara+2, Ara+4, Ara+5, Ara-6	11.70	0.04	0.08
Ara+2, Ara+4, Ara-1, Ara-2	11.47	0.09	0.10
Ara+2, Ara+4, Ara-1, Ara-3	9.98	0.07	0.10
Ara+2, Ara+4, Ara-1, Ara-4	15.90	0.06	0.09
Ara+2, Ara+4, Ara-1, Ara-5	11.19	0.06	0.09
Ara+2, Ara+4, Ara-1, Ara-6	12.26	0.04	0.08
Ara+2, Ara+4, Ara-2, Ara-3	9.99	0.10	0.11
Ara+2, Ara+4, Ara-2, Ara-4	15.11	0.07	0.10
Ara+2, Ara+4, Ara-2, Ara-5	10.59	0.08	0.10
Ara+2, Ara+4, Ara-2, Ara-6	11.36	0.05	0.08
Ara+2, Ara+4, Ara-3, Ara-4	11.66	0.07	0.09
Ara+2, Ara+4, Ara-3, Ara-5	9.81	0.07	0.10
Ara+2, Ara+4, Ara-3, Ara-6	9.36	0.04	0.08
Ara+2, Ara+4, Ara-4, Ara-5	14.23	0.06	0.09
Ara+2, Ara+4, Ara-4, Ara-6	15.75	0.03	0.08
Ara+2, Ara+4, Ara-5, Ara-6	10.86	0.04	0.08
Ara+2, Ara+5, Ara-1, Ara-2	11.47	0.11	0.11
Ara+2, Ara+5, Ara-1, Ara-3	10.69	0.09	0.11
Ara+2, Ara+5, Ara-1, Ara-4	14.51	0.07	0.09
Ara+2, Ara+5, Ara-1, Ara-5	13.39	0.08	0.10
Ara+2, Ara+5, Ara-1, Ara-6	9.93	0.05	0.09
Ara+2, Ara+5, Ara-2, Ara-3	9.05	0.12	0.12
Ara+2, Ara+5, Ara-2, Ara-4	13.88	0.09	0.11
