Strain Combination	Observed Ratio (%)	Simulated Mean (%)	Simulated Std Dev (%)
Ara+2, Ara-1, Ara-3, Ara-6	12.09	0.46	0.25
Ara+2, Ara-1, Ara-4, Ara-5	17.60	0.52	0.25
Ara+2, Ara-1, Ara-4, Ara-6	15.53	0.33	0.22
Ara+2, Ara-1, Ara-5, Ara-6	10.55	0.39	0.23
Ara+2, Ara-2, Ara-3, Ara-4	16.05	0.74	0.31
Ara+2, Ara-2, Ara-3, Ara-5	13.48	0.86	0.30
Ara+2, Ara-2, Ara-3, Ara-6	11.78	0.56	0.27
Ara+2, Ara-2, Ara-4, Ara-5	17.69	0.63	0.28
Ara+2, Ara-2, Ara-4, Ara-6	14.59	0.42	0.25
Ara+2, Ara-2, Ara-5, Ara-6	11.57	0.49	0.24
Ara+2, Ara-3, Ara-4, Ara-5	12.80	0.55	0.27
Ara+2, Ara-3, Ara-4, Ara-6	13.42	0.35	0.24
Ara+2, Ara-3, Ara-5, Ara-6	10.81	0.42	0.24
Ara+2, Ara-4, Ara-5, Ara-6	12.79	0.32	0.21
Ara+3, Ara+4, Ara+5, Ara-1	11.37	0.56	0.28
Ara+3, Ara+4, Ara+5, Ara-2	12.12	0.69	0.30
Ara+3, Ara+4, Ara+5, Ara-3	11.59	0.62	0.29
Ara+3, Ara+4, Ara+5, Ara-4	13.18	0.45	0.26
